student_id,neighborhood,age,distance,free_bicycle,income_hh,score,number_roomates,edu_maternal
1,29,22,1.1539778,0,11989.008,19.08218,0,0
2,38,18,.22688726,0,13400.168,29.090454,2,0
3,22,19,3.8836532,0,11939.807,23.774466,0,3
4,35,19,7.1100836,1,12141.793,18.567995,0,0
5,25,18,.9313339,0,15843.854,22.082581,1,1
6,16,21,1.8749334,0,13901.171,25.156372,0,0
7,11,18,.09150847,0,18882.527,26.426516,0,2
8,38,21,1.17304,0,17224.902,22.694691,2,2
9,22,22,3.085114,0,15957.163,21.712616,0,2
10,21,21,1.7504538,0,10535.811,18.591146,0,3
11,26,22,.64952177,0,16184.535,22.480146,0,3
12,14,22,.42164364,0,11902.167,21.026497,0,0
13,7,18,3.2646332,0,15696.697,19.789347,0,1
14,35,20,3.2899194,0,19130.047,21.359138,0,2
15,37,19,.69714886,0,13970.143,22.116182,0,2
16,5,18,1.8286629,0,15968.77,21.470348,0,3
17,3,18,1.6235083,0,18735.385,18.62431,1,1
18,6,21,3.2555797,0,20089.982,18.148046,1,2
19,21,19,3.1985013,0,12049.094,19.853127,1,2
20,23,20,2.7824695,0,17300.422,21.294651,0,2
21,40,21,1.5764834,0,22445.824,26.591377,1,3
22,27,21,2.8791161,0,21603.061,21.782394,0,1
23,5,20,2.2828958,0,13774.969,21.466175,1,2
24,39,22,4.2506933,0,10556.84,20.723696,1,2
25,35,20,.14434564,0,13930.121,23.616972,0,1
26,38,23,2.755198,0,14416.787,23.310253,0,2
27,35,23,9.3144989,1,15690.37,15.918073,1,1
28,21,22,.9735499,0,14703.994,23.793713,0,0
29,9,19,3.5439882,0,9842.8154,21.155331,0,1
30,30,22,3.8301704,0,10280.592,21.839998,1,3
31,5,18,5.7170038,1,9982.6133,19.61256,1,2
32,12,20,2.749711,0,15768.353,20.3757,0,0
33,17,19,7.6828713,1,11213.492,18.276556,1,0
34,15,18,3.3406949,0,14182.688,21.094847,0,1
35,20,22,2.6128891,0,11389.597,20.967911,0,2
36,12,20,3.2733431,0,13623.998,21.239588,1,2
37,6,20,8.0269156,1,15004.437,16.032354,0,0
38,26,18,2.8953753,0,15678.967,23.216925,1,1
39,16,19,2.2847488,0,19858.766,25.19025,0,2
40,41,23,2.7083459,0,14986.523,21.60298,1,2
41,41,23,.4957436,0,17059.219,23.425728,1,0
42,7,22,3.4409928,0,14249.58,19.133617,1,1
43,41,19,3.6667495,0,13217.223,20.286354,0,2
44,6,20,10.500671,1,13553.292,13.069124,0,1
45,31,22,4.054563,0,14392.667,19.030693,0,3
46,13,19,4.0696402,0,13922.873,19.402828,1,1
47,6,22,1.2806538,0,13994.39,21.383467,0,0
48,13,22,5.6651268,1,14839.171,18.415531,0,1
49,20,22,3.753638,0,18068.066,21.937963,0,0
